state_key,planner_kind,metric,common_candidates,candidate_pairs,concordant,discordant,both_tied,current_only_tied,shadow_only_tied,top_sets_overlap,top_sets_equal,current_top_size,shadow_top_size
q3_0000_P3_current_grid_v1/state=2/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=2/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=3/planner=q3_active,q3_active,D_worst,15,105,88,17,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=3/planner=q3_active,q3_active,R_worst,15,105,88,17,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=3/planner=q3_active,q3_active,G_worst,15,105,23,4,0,0,78,True,False,1,13
q3_0000_P3_current_grid_v1/state=3/planner=q3_active,q3_active,sampled_cert_score,15,105,23,4,0,0,78,True,False,1,13
q3_0000_P3_current_grid_v1/state=3/planner=q3_active,q3_active,certified_completion_cost,13,78,53,25,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=3/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=4/planner=q3_active,q3_active,D_worst,15,105,105,0,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=4/planner=q3_active,q3_active,R_worst,15,105,105,0,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=4/planner=q3_active,q3_active,G_worst,15,105,105,0,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=4/planner=q3_active,q3_active,sampled_cert_score,15,105,55,20,0,0,30,True,False,1,4
q3_0000_P3_current_grid_v1/state=4/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=4/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=5/planner=q3_active,q3_active,D_worst,15,105,103,2,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=5/planner=q3_active,q3_active,R_worst,15,105,103,2,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=5/planner=q3_active,q3_active,G_worst,15,105,67,2,0,0,36,True,False,1,9
q3_0000_P3_current_grid_v1/state=5/planner=q3_active,q3_active,sampled_cert_score,15,105,63,4,0,0,38,True,False,1,9
q3_0000_P3_current_grid_v1/state=5/planner=q3_active,q3_active,certified_completion_cost,9,36,22,14,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=5/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=6/planner=q3_active,q3_active,D_worst,15,105,91,14,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=6/planner=q3_active,q3_active,R_worst,15,105,91,14,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=6/planner=q3_active,q3_active,G_worst,15,105,72,12,0,0,21,True,False,1,7
q3_0000_P3_current_grid_v1/state=6/planner=q3_active,q3_active,sampled_cert_score,15,105,65,18,0,0,22,True,False,1,7
q3_0000_P3_current_grid_v1/state=6/planner=q3_active,q3_active,certified_completion_cost,7,21,14,7,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=6/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=7/planner=q3_active,q3_active,D_worst,15,105,98,7,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=7/planner=q3_active,q3_active,R_worst,15,105,98,7,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=7/planner=q3_active,q3_active,G_worst,15,105,71,6,0,0,28,True,False,1,8
q3_0000_P3_current_grid_v1/state=7/planner=q3_active,q3_active,sampled_cert_score,15,105,67,0,0,0,38,True,False,1,8
q3_0000_P3_current_grid_v1/state=7/planner=q3_active,q3_active,certified_completion_cost,8,28,20,8,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=7/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=8/planner=q3_active,q3_active,D_worst,15,105,86,19,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=8/planner=q3_active,q3_active,R_worst,15,105,86,19,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=8/planner=q3_active,q3_active,G_worst,15,105,28,11,0,0,66,True,False,1,12
q3_0000_P3_current_grid_v1/state=8/planner=q3_active,q3_active,sampled_cert_score,15,105,26,13,0,0,66,True,False,1,12
q3_0000_P3_current_grid_v1/state=8/planner=q3_active,q3_active,certified_completion_cost,12,66,46,20,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=8/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=9/planner=q3_active,q3_active,D_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=9/planner=q3_active,q3_active,R_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=9/planner=q3_active,q3_active,G_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=9/planner=q3_active,q3_active,sampled_cert_score,15,105,80,12,0,0,13,True,False,1,2
q3_0000_P3_current_grid_v1/state=9/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=9/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=10/planner=q3_active,q3_active,D_worst,15,105,99,6,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=10/planner=q3_active,q3_active,R_worst,15,105,99,6,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=10/planner=q3_active,q3_active,G_worst,15,105,99,6,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=10/planner=q3_active,q3_active,sampled_cert_score,15,105,44,15,0,0,46,True,False,1,5
q3_0000_P3_current_grid_v1/state=10/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=10/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=11/planner=q3_active,q3_active,D_worst,15,105,101,4,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=11/planner=q3_active,q3_active,R_worst,15,105,101,4,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=11/planner=q3_active,q3_active,G_worst,15,105,66,3,0,0,36,True,False,1,9
q3_0000_P3_current_grid_v1/state=11/planner=q3_active,q3_active,sampled_cert_score,15,105,60,6,0,0,39,True,False,1,9
q3_0000_P3_current_grid_v1/state=11/planner=q3_active,q3_active,certified_completion_cost,9,36,27,9,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=11/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=12/planner=q3_active,q3_active,D_worst,15,105,73,32,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=12/planner=q3_active,q3_active,R_worst,15,105,73,32,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=12/planner=q3_active,q3_active,G_worst,15,105,9,5,0,0,91,True,False,1,14
q3_0000_P3_current_grid_v1/state=12/planner=q3_active,q3_active,sampled_cert_score,15,105,9,5,0,0,91,True,False,1,14
q3_0000_P3_current_grid_v1/state=12/planner=q3_active,q3_active,certified_completion_cost,14,91,47,43,0,0,1,False,False,1,1
q3_0000_P3_current_grid_v1/state=12/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=13/planner=q3_active,q3_active,D_worst,15,105,96,9,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=13/planner=q3_active,q3_active,R_worst,15,105,96,9,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=13/planner=q3_active,q3_active,G_worst,15,105,42,8,0,0,55,True,False,1,11
q3_0000_P3_current_grid_v1/state=13/planner=q3_active,q3_active,sampled_cert_score,15,105,42,7,0,0,56,True,False,1,11
q3_0000_P3_current_grid_v1/state=13/planner=q3_active,q3_active,certified_completion_cost,11,55,43,12,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=13/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=14/planner=q3_active,q3_active,D_worst,15,105,90,15,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=14/planner=q3_active,q3_active,R_worst,15,105,90,15,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=14/planner=q3_active,q3_active,G_worst,15,105,0,0,0,0,105,True,False,1,15
q3_0000_P3_current_grid_v1/state=14/planner=q3_active,q3_active,sampled_cert_score,15,105,0,0,0,0,105,True,False,1,15
q3_0000_P3_current_grid_v1/state=14/planner=q3_active,q3_active,certified_completion_cost,15,105,52,51,0,0,2,False,False,1,1
q3_0000_P3_current_grid_v1/state=14/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=15/planner=q3_active,q3_active,D_worst,15,105,79,26,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=15/planner=q3_active,q3_active,R_worst,15,105,79,26,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=15/planner=q3_active,q3_active,G_worst,15,105,69,26,0,0,10,True,False,1,5
q3_0000_P3_current_grid_v1/state=15/planner=q3_active,q3_active,sampled_cert_score,15,105,60,31,0,0,14,True,False,1,5
q3_0000_P3_current_grid_v1/state=15/planner=q3_active,q3_active,certified_completion_cost,5,10,5,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=15/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=16/planner=q3_active,q3_active,D_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=16/planner=q3_active,q3_active,R_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=16/planner=q3_active,q3_active,G_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1/state=16/planner=q3_active,q3_active,sampled_cert_score,15,105,89,3,0,0,13,False,False,1,1
q3_0000_P3_current_grid_v1/state=16/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=16/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1/state=17/planner=q3_active,q3_active,D_worst,15,105,93,12,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=17/planner=q3_active,q3_active,R_worst,15,105,93,12,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1/state=17/planner=q3_active,q3_active,G_worst,15,105,49,1,0,0,55,True,False,1,11
q3_0000_P3_current_grid_v1/state=17/planner=q3_active,q3_active,sampled_cert_score,15,105,48,0,0,0,57,True,False,1,11
q3_0000_P3_current_grid_v1/state=17/planner=q3_active,q3_active,certified_completion_cost,11,55,12,42,0,0,1,False,False,1,1
q3_0000_P3_current_grid_v1/state=17/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=0/planner=q3_active,q3_active,D_worst,15,105,103,1,0,0,1,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=0/planner=q3_active,q3_active,R_worst,15,105,103,1,0,0,1,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=0/planner=q3_active,q3_active,G_worst,15,105,103,1,0,0,1,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=0/planner=q3_active,q3_active,sampled_cert_score,15,105,25,42,0,0,38,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=0/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=0/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=1/planner=q3_active,q3_active,D_worst,15,105,100,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=1/planner=q3_active,q3_active,R_worst,15,105,100,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=1/planner=q3_active,q3_active,G_worst,15,105,87,3,0,0,15,True,False,1,6
q3_0000_P3_current_grid_v1_nccp/state=1/planner=q3_active,q3_active,sampled_cert_score,15,105,84,3,0,0,18,True,False,1,6
q3_0000_P3_current_grid_v1_nccp/state=1/planner=q3_active,q3_active,certified_completion_cost,6,15,6,9,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=1/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=2/planner=q3_active,q3_active,D_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=2/planner=q3_active,q3_active,R_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=2/planner=q3_active,q3_active,G_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=2/planner=q3_active,q3_active,sampled_cert_score,15,105,55,16,0,0,34,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=2/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=2/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=3/planner=q3_active,q3_active,D_worst,15,105,89,16,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=3/planner=q3_active,q3_active,R_worst,15,105,89,16,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=3/planner=q3_active,q3_active,G_worst,15,105,23,4,0,0,78,True,False,1,13
q3_0000_P3_current_grid_v1_nccp/state=3/planner=q3_active,q3_active,sampled_cert_score,15,105,23,4,0,0,78,True,False,1,13
q3_0000_P3_current_grid_v1_nccp/state=3/planner=q3_active,q3_active,certified_completion_cost,13,78,54,24,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=3/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=4/planner=q3_active,q3_active,D_worst,15,105,104,1,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=4/planner=q3_active,q3_active,R_worst,15,105,104,1,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=4/planner=q3_active,q3_active,G_worst,15,105,104,1,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=4/planner=q3_active,q3_active,sampled_cert_score,15,105,55,20,0,0,30,True,False,1,4
q3_0000_P3_current_grid_v1_nccp/state=4/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=4/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=5/planner=q3_active,q3_active,D_worst,15,105,103,2,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=5/planner=q3_active,q3_active,R_worst,15,105,103,2,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=5/planner=q3_active,q3_active,G_worst,15,105,67,2,0,0,36,True,False,1,9
q3_0000_P3_current_grid_v1_nccp/state=5/planner=q3_active,q3_active,sampled_cert_score,15,105,63,4,0,0,38,True,False,1,9
q3_0000_P3_current_grid_v1_nccp/state=5/planner=q3_active,q3_active,certified_completion_cost,9,36,22,14,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=5/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=6/planner=q3_active,q3_active,D_worst,15,105,91,14,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=6/planner=q3_active,q3_active,R_worst,15,105,91,14,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=6/planner=q3_active,q3_active,G_worst,15,105,72,12,0,0,21,True,False,1,7
q3_0000_P3_current_grid_v1_nccp/state=6/planner=q3_active,q3_active,sampled_cert_score,15,105,65,18,0,0,22,True,False,1,7
q3_0000_P3_current_grid_v1_nccp/state=6/planner=q3_active,q3_active,certified_completion_cost,7,21,14,7,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=6/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=7/planner=q3_active,q3_active,D_worst,15,105,100,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=7/planner=q3_active,q3_active,R_worst,15,105,100,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=7/planner=q3_active,q3_active,G_worst,15,105,72,5,0,0,28,True,False,1,8
q3_0000_P3_current_grid_v1_nccp/state=7/planner=q3_active,q3_active,sampled_cert_score,15,105,67,0,0,0,38,True,False,1,8
q3_0000_P3_current_grid_v1_nccp/state=7/planner=q3_active,q3_active,certified_completion_cost,8,28,19,9,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=7/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=8/planner=q3_active,q3_active,D_worst,15,105,86,19,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=8/planner=q3_active,q3_active,R_worst,15,105,86,19,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=8/planner=q3_active,q3_active,G_worst,15,105,28,11,0,0,66,True,False,1,12
q3_0000_P3_current_grid_v1_nccp/state=8/planner=q3_active,q3_active,sampled_cert_score,15,105,26,13,0,0,66,True,False,1,12
q3_0000_P3_current_grid_v1_nccp/state=8/planner=q3_active,q3_active,certified_completion_cost,12,66,46,20,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=8/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=9/planner=q3_active,q3_active,D_worst,15,105,101,4,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=9/planner=q3_active,q3_active,R_worst,15,105,101,4,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=9/planner=q3_active,q3_active,G_worst,15,105,101,4,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=9/planner=q3_active,q3_active,sampled_cert_score,15,105,79,12,0,0,14,True,False,1,2
q3_0000_P3_current_grid_v1_nccp/state=9/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=9/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=10/planner=q3_active,q3_active,D_worst,15,105,99,6,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=10/planner=q3_active,q3_active,R_worst,15,105,99,6,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=10/planner=q3_active,q3_active,G_worst,15,105,99,6,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=10/planner=q3_active,q3_active,sampled_cert_score,15,105,44,15,0,0,46,True,False,1,5
q3_0000_P3_current_grid_v1_nccp/state=10/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=10/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=11/planner=q3_active,q3_active,D_worst,15,105,101,4,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=11/planner=q3_active,q3_active,R_worst,15,105,101,4,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=11/planner=q3_active,q3_active,G_worst,15,105,66,3,0,0,36,True,False,1,9
q3_0000_P3_current_grid_v1_nccp/state=11/planner=q3_active,q3_active,sampled_cert_score,15,105,60,6,0,0,39,True,False,1,9
q3_0000_P3_current_grid_v1_nccp/state=11/planner=q3_active,q3_active,certified_completion_cost,9,36,26,8,0,0,2,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=11/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=12/planner=q3_active,q3_active,D_worst,15,105,73,32,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=12/planner=q3_active,q3_active,R_worst,15,105,73,32,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=12/planner=q3_active,q3_active,G_worst,15,105,9,5,0,0,91,True,False,1,14
q3_0000_P3_current_grid_v1_nccp/state=12/planner=q3_active,q3_active,sampled_cert_score,15,105,9,5,0,0,91,True,False,1,14
q3_0000_P3_current_grid_v1_nccp/state=12/planner=q3_active,q3_active,certified_completion_cost,14,91,47,43,0,0,1,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=12/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=13/planner=q3_active,q3_active,D_worst,15,105,97,8,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=13/planner=q3_active,q3_active,R_worst,15,105,97,8,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=13/planner=q3_active,q3_active,G_worst,15,105,43,7,0,0,55,True,False,1,11
q3_0000_P3_current_grid_v1_nccp/state=13/planner=q3_active,q3_active,sampled_cert_score,15,105,42,7,0,0,56,True,False,1,11
q3_0000_P3_current_grid_v1_nccp/state=13/planner=q3_active,q3_active,certified_completion_cost,11,55,43,12,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=13/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=14/planner=q3_active,q3_active,D_worst,15,105,90,15,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=14/planner=q3_active,q3_active,R_worst,15,105,90,15,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=14/planner=q3_active,q3_active,G_worst,15,105,0,0,0,0,105,True,False,1,15
q3_0000_P3_current_grid_v1_nccp/state=14/planner=q3_active,q3_active,sampled_cert_score,15,105,0,0,0,0,105,True,False,1,15
q3_0000_P3_current_grid_v1_nccp/state=14/planner=q3_active,q3_active,certified_completion_cost,15,105,52,51,0,0,2,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=14/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=15/planner=q3_active,q3_active,D_worst,15,105,79,26,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=15/planner=q3_active,q3_active,R_worst,15,105,79,26,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=15/planner=q3_active,q3_active,G_worst,15,105,69,26,0,0,10,True,False,1,5
q3_0000_P3_current_grid_v1_nccp/state=15/planner=q3_active,q3_active,sampled_cert_score,15,105,60,31,0,0,14,True,False,1,5
q3_0000_P3_current_grid_v1_nccp/state=15/planner=q3_active,q3_active,certified_completion_cost,5,10,5,5,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=15/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=16/planner=q3_active,q3_active,D_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=16/planner=q3_active,q3_active,R_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=16/planner=q3_active,q3_active,G_worst,15,105,102,3,0,0,0,True,True,1,1
q3_0000_P3_current_grid_v1_nccp/state=16/planner=q3_active,q3_active,sampled_cert_score,15,105,89,3,0,0,13,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=16/planner=q3_active,q3_active,certified_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=16/planner=q3_active,q3_active,estimated_completion_cost,0,0,0,0,0,0,0,,,0,0
q3_0000_P3_current_grid_v1_nccp/state=17/planner=q3_active,q3_active,D_worst,15,105,93,12,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=17/planner=q3_active,q3_active,R_worst,15,105,93,12,0,0,0,False,False,1,1
q3_0000_P3_current_grid_v1_nccp/state=17/planner=q3_active,q3_active,G_worst,15,105,49,1,0,0,55,True,False,1,11
