seed,problem,backbone,found,total,fraction
24,3,halfplane_grid,12,12,1.0
24,4,center_only,4,12,0.3333333333333333
24,4,seven_points,12,12,1.0
24,4,halfplane_grid,12,12,1.0
25,3,center_only,0,13,0.0
25,3,seven_points,13,13,1.0
25,3,halfplane_grid,13,13,1.0
25,4,center_only,0,13,0.0
25,4,seven_points,2,13,0.15384615384615385
25,4,halfplane_grid,13,13,1.0
26,3,center_only,6,16,0.375
26,3,seven_points,16,16,1.0
26,3,halfplane_grid,16,16,1.0
26,4,center_only,2,16,0.125
26,4,seven_points,14,16,0.875
26,4,halfplane_grid,16,16,1.0
27,3,center_only,0,10,0.0
27,3,seven_points,10,10,1.0
27,3,halfplane_grid,10,10,1.0
27,4,center_only,0,10,0.0
27,4,seven_points,3,10,0.3
27,4,halfplane_grid,10,10,1.0
28,3,center_only,10,14,0.7142857142857143
28,3,seven_points,14,14,1.0
28,3,halfplane_grid,14,14,1.0
28,4,center_only,6,14,0.42857142857142855
28,4,seven_points,13,14,0.9285714285714286
28,4,halfplane_grid,14,14,1.0
29,3,center_only,0,16,0.0
29,3,seven_points,16,16,1.0
29,3,halfplane_grid,16,16,1.0
29,4,center_only,0,16,0.0
29,4,seven_points,4,16,0.25
29,4,halfplane_grid,16,16,1.0
30,3,center_only,2,10,0.2
30,3,seven_points,10,10,1.0
30,3,halfplane_grid,10,10,1.0
30,4,center_only,2,10,0.2
30,4,seven_points,9,10,0.9
30,4,halfplane_grid,10,10,1.0
31,3,center_only,0,13,0.0
31,3,seven_points,13,13,1.0
31,3,halfplane_grid,13,13,1.0
31,4,center_only,0,13,0.0
31,4,seven_points,5,13,0.38461538461538464
31,4,halfplane_grid,13,13,1.0
32,3,center_only,12,16,0.75
32,3,seven_points,16,16,1.0
32,3,halfplane_grid,16,16,1.0
32,4,center_only,9,16,0.5625
32,4,seven_points,15,16,0.9375
32,4,halfplane_grid,16,16,1.0
33,3,center_only,0,16,0.0
33,3,seven_points,16,16,1.0
33,3,halfplane_grid,16,16,1.0
33,4,center_only,0,16,0.0
33,4,seven_points,6,16,0.375
33,4,halfplane_grid,16,16,1.0
34,3,center_only,3,10,0.3
34,3,seven_points,10,10,1.0
34,3,halfplane_grid,10,10,1.0
34,4,center_only,3,10,0.3
34,4,seven_points,8,10,0.8
34,4,halfplane_grid,10,10,1.0
35,3,center_only,0,10,0.0
35,3,seven_points,10,10,1.0
35,3,halfplane_grid,10,10,1.0
35,4,center_only,0,10,0.0
35,4,seven_points,2,10,0.2
35,4,halfplane_grid,10,10,1.0
36,3,center_only,6,12,0.5
36,3,seven_points,12,12,1.0
36,3,halfplane_grid,12,12,1.0
36,4,center_only,3,12,0.25
36,4,seven_points,11,12,0.9166666666666666
36,4,halfplane_grid,12,12,1.0
37,3,center_only,0,11,0.0
37,3,seven_points,11,11,1.0
37,3,halfplane_grid,11,11,1.0
37,4,center_only,0,11,0.0
37,4,seven_points,5,11,0.45454545454545453
37,4,halfplane_grid,11,11,1.0
38,3,center_only,6,11,0.5454545454545454
38,3,seven_points,11,11,1.0
38,3,halfplane_grid,11,11,1.0
38,4,center_only,2,11,0.18181818181818182
38,4,seven_points,10,11,0.9090909090909091
38,4,halfplane_grid,11,11,1.0
39,3,center_only,0,16,0.0
39,3,seven_points,16,16,1.0
39,3,halfplane_grid,16,16,1.0
39,4,center_only,0,16,0.0
39,4,seven_points,9,16,0.5625
39,4,halfplane_grid,16,16,1.0
40,3,center_only,6,13,0.46153846153846156
40,3,seven_points,13,13,1.0
40,3,halfplane_grid,13,13,1.0
40,4,center_only,7,13,0.5384615384615384
40,4,seven_points,12,13,0.9230769230769231
40,4,halfplane_grid,13,13,1.0
41,3,center_only,0,14,0.0
41,3,seven_points,14,14,1.0
41,3,halfplane_grid,14,14,1.0
41,4,center_only,0,14,0.0
41,4,seven_points,6,14,0.42857142857142855
41,4,halfplane_grid,14,14,1.0
42,3,center_only,3,10,0.3
42,3,seven_points,10,10,1.0
42,3,halfplane_grid,10,10,1.0
42,4,center_only,2,10,0.2
42,4,seven_points,9,10,0.9
42,4,halfplane_grid,10,10,1.0
43,3,center_only,0,13,0.0
43,3,seven_points,13,13,1.0
43,3,halfplane_grid,13,13,1.0
43,4,center_only,0,13,0.0
43,4,seven_points,2,13,0.15384615384615385
43,4,halfplane_grid,13,13,1.0
44,3,center_only,9,14,0.6428571428571429
44,3,seven_points,14,14,1.0
44,3,halfplane_grid,14,14,1.0
44,4,center_only,7,14,0.5
44,4,seven_points,13,14,0.9285714285714286
44,4,halfplane_grid,14,14,1.0
45,3,center_only,0,16,0.0
45,3,seven_points,16,16,1.0
45,3,halfplane_grid,16,16,1.0
45,4,center_only,0,16,0.0
45,4,seven_points,5,16,0.3125
45,4,halfplane_grid,16,16,1.0
46,3,center_only,7,13,0.5384615384615384
46,3,seven_points,13,13,1.0
46,3,halfplane_grid,13,13,1.0
46,4,center_only,4,13,0.3076923076923077
46,4,seven_points,13,13,1.0
46,4,halfplane_grid,13,13,1.0
47,3,center_only,0,10,0.0
47,3,seven_points,10,10,1.0
47,3,halfplane_grid,10,10,1.0
47,4,center_only,0,10,0.0
47,4,seven_points,5,10,0.5
47,4,halfplane_grid,10,10,1.0
48,3,center_only,6,10,0.6
48,3,seven_points,10,10,1.0
48,3,halfplane_grid,10,10,1.0
48,4,center_only,5,10,0.5
48,4,seven_points,9,10,0.9
48,4,halfplane_grid,10,10,1.0
49,3,center_only,0,10,0.0
49,3,seven_points,10,10,1.0
49,3,halfplane_grid,10,10,1.0
49,4,center_only,0,10,0.0
49,4,seven_points,2,10,0.2
49,4,halfplane_grid,10,10,1.0
50,3,center_only,10,15,0.6666666666666666
50,3,seven_points,15,15,1.0
50,3,halfplane_grid,15,15,1.0
50,4,center_only,3,15,0.2
50,4,seven_points,12,15,0.8
50,4,halfplane_grid,15,15,1.0
51,3,center_only,0,12,0.0
51,3,seven_points,12,12,1.0
51,3,halfplane_grid,12,12,1.0
51,4,center_only,0,12,0.0
51,4,seven_points,3,12,0.25
51,4,halfplane_grid,12,12,1.0
52,3,center_only,7,16,0.4375
52,3,seven_points,16,16,1.0
52,3,halfplane_grid,16,16,1.0
52,4,center_only,7,16,0.4375
52,4,seven_points,14,16,0.875
52,4,halfplane_grid,16,16,1.0
53,3,center_only,0,15,0.0
53,3,seven_points,15,15,1.0
53,3,halfplane_grid,15,15,1.0
53,4,center_only,0,15,0.0
53,4,seven_points,3,15,0.2
53,4,halfplane_grid,15,15,1.0
54,3,center_only,6,12,0.5
54,3,seven_points,12,12,1.0
54,3,halfplane_grid,12,12,1.0
54,4,center_only,4,12,0.3333333333333333
54,4,seven_points,11,12,0.9166666666666666
54,4,halfplane_grid,12,12,1.0
55,3,center_only,0,16,0.0
55,3,seven_points,16,16,1.0
55,3,halfplane_grid,16,16,1.0
55,4,center_only,0,16,0.0
55,4,seven_points,2,16,0.125
55,4,halfplane_grid,16,16,1.0
56,3,center_only,7,12,0.5833333333333334
56,3,seven_points,12,12,1.0
56,3,halfplane_grid,12,12,1.0
56,4,center_only,6,12,0.5
56,4,seven_points,10,12,0.8333333333333334
56,4,halfplane_grid,12,12,1.0
57,3,center_only,0,10,0.0
57,3,seven_points,10,10,1.0
57,3,halfplane_grid,10,10,1.0
57,4,center_only,0,10,0.0
57,4,seven_points,2,10,0.2
57,4,halfplane_grid,10,10,1.0
58,3,center_only,8,13,0.6153846153846154
58,3,seven_points,13,13,1.0
58,3,halfplane_grid,13,13,1.0
58,4,center_only,4,13,0.3076923076923077
58,4,seven_points,13,13,1.0
58,4,halfplane_grid,13,13,1.0
59,3,center_only,0,15,0.0
59,3,seven_points,15,15,1.0
59,3,halfplane_grid,15,15,1.0
59,4,center_only,0,15,0.0
59,4,seven_points,4,15,0.26666666666666666
59,4,halfplane_grid,15,15,1.0
60,3,center_only,6,11,0.5454545454545454
60,3,seven_points,11,11,1.0
60,3,halfplane_grid,11,11,1.0
60,4,center_only,2,11,0.18181818181818182
60,4,seven_points,9,11,0.8181818181818182
60,4,halfplane_grid,11,11,1.0
61,3,center_only,0,12,0.0
61,3,seven_points,12,12,1.0
61,3,halfplane_grid,12,12,1.0
61,4,center_only,0,12,0.0
61,4,seven_points,5,12,0.4166666666666667
61,4,halfplane_grid,12,12,1.0
62,3,center_only,8,13,0.6153846153846154
62,3,seven_points,13,13,1.0
62,3,halfplane_grid,13,13,1.0
62,4,center_only,1,13,0.07692307692307693
62,4,seven_points,12,13,0.9230769230769231
62,4,halfplane_grid,13,13,1.0
63,3,center_only,0,13,0.0
63,3,seven_points,13,13,1.0
63,3,halfplane_grid,13,13,1.0
63,4,center_only,0,13,0.0
63,4,seven_points,4,13,0.3076923076923077
63,4,halfplane_grid,13,13,1.0
64,3,center_only,4,13,0.3076923076923077
64,3,seven_points,13,13,1.0
64,3,halfplane_grid,13,13,1.0
64,4,center_only,3,13,0.23076923076923078
64,4,seven_points,7,13,0.5384615384615384
64,4,halfplane_grid,13,13,1.0
65,3,center_only,0,11,0.0
65,3,seven_points,11,11,1.0
65,3,halfplane_grid,11,11,1.0
65,4,center_only,0,11,0.0
65,4,seven_points,3,11,0.2727272727272727
65,4,halfplane_grid,11,11,1.0
66,3,center_only,6,16,0.375
66,3,seven_points,16,16,1.0
66,3,halfplane_grid,16,16,1.0
66,4,center_only,2,16,0.125
66,4,seven_points,13,16,0.8125
66,4,halfplane_grid,16,16,1.0
67,3,center_only,0,15,0.0
67,3,seven_points,15,15,1.0
67,3,halfplane_grid,15,15,1.0
67,4,center_only,0,15,0.0
67,4,seven_points,3,15,0.2
67,4,halfplane_grid,15,15,1.0
68,3,center_only,9,13,0.6923076923076923
68,3,seven_points,13,13,1.0
68,3,halfplane_grid,13,13,1.0
68,4,center_only,6,13,0.46153846153846156
68,4,seven_points,12,13,0.9230769230769231
68,4,halfplane_grid,13,13,1.0
69,3,center_only,0,10,0.0
69,3,seven_points,10,10,1.0
69,3,halfplane_grid,10,10,1.0
69,4,center_only,0,10,0.0
69,4,seven_points,3,10,0.3
69,4,halfplane_grid,10,10,1.0
70,3,center_only,11,14,0.7857142857142857
70,3,seven_points,14,14,1.0
70,3,halfplane_grid,14,14,1.0
70,4,center_only,6,14,0.42857142857142855
70,4,seven_points,12,14,0.8571428571428571
70,4,halfplane_grid,14,14,1.0
71,3,center_only,0,16,0.0
71,3,seven_points,16,16,1.0
71,3,halfplane_grid,16,16,1.0
71,4,center_only,0,16,0.0
71,4,seven_points,5,16,0.3125
71,4,halfplane_grid,16,16,1.0
72,3,center_only,9,16,0.5625
72,3,seven_points,16,16,1.0
72,3,halfplane_grid,16,16,1.0
72,4,center_only,6,16,0.375
72,4,seven_points,13,16,0.8125
72,4,halfplane_grid,16,16,1.0
73,3,center_only,0,15,0.0
73,3,seven_points,15,15,1.0
73,3,halfplane_grid,15,15,1.0
73,4,center_only,0,15,0.0
73,4,seven_points,2,15,0.13333333333333333
73,4,halfplane_grid,15,15,1.0
74,3,center_only,7,11,0.6363636363636364
74,3,seven_points,11,11,1.0
74,3,halfplane_grid,11,11,1.0
74,4,center_only,4,11,0.36363636363636365
74,4,seven_points,10,11,0.9090909090909091
74,4,halfplane_grid,11,11,1.0
75,3,center_only,0,14,0.0
75,3,seven_points,14,14,1.0
75,3,halfplane_grid,14,14,1.0
75,4,center_only,0,14,0.0
75,4,seven_points,8,14,0.5714285714285714
75,4,halfplane_grid,14,14,1.0
76,3,center_only,8,13,0.6153846153846154
76,3,seven_points,13,13,1.0
76,3,halfplane_grid,13,13,1.0
76,4,center_only,4,13,0.3076923076923077
76,4,seven_points,11,13,0.8461538461538461
76,4,halfplane_grid,13,13,1.0
77,3,center_only,0,10,0.0
77,3,seven_points,10,10,1.0
77,3,halfplane_grid,10,10,1.0
77,4,center_only,0,10,0.0
77,4,seven_points,2,10,0.2
77,4,halfplane_grid,10,10,1.0
78,3,center_only,5,15,0.3333333333333333
78,3,seven_points,15,15,1.0
78,3,halfplane_grid,15,15,1.0
78,4,center_only,2,15,0.13333333333333333
78,4,seven_points,14,15,0.9333333333333333
78,4,halfplane_grid,15,15,1.0
79,3,center_only,0,10,0.0
79,3,seven_points,10,10,1.0
79,3,halfplane_grid,10,10,1.0
79,4,center_only,0,10,0.0
79,4,seven_points,4,10,0.4
79,4,halfplane_grid,10,10,1.0
80,3,center_only,9,16,0.5625
80,3,seven_points,16,16,1.0
80,3,halfplane_grid,16,16,1.0
80,4,center_only,7,16,0.4375
80,4,seven_points,13,16,0.8125
80,4,halfplane_grid,16,16,1.0
81,3,center_only,0,10,0.0
81,3,seven_points,10,10,1.0
81,3,halfplane_grid,10,10,1.0
81,4,center_only,0,10,0.0
81,4,seven_points,2,10,0.2
81,4,halfplane_grid,10,10,1.0
82,3,center_only,7,15,0.4666666666666667
82,3,seven_points,15,15,1.0
82,3,halfplane_grid,15,15,1.0
82,4,center_only,1,15,0.06666666666666667
82,4,seven_points,13,15,0.8666666666666667
82,4,halfplane_grid,15,15,1.0
83,3,center_only,0,15,0.0
83,3,seven_points,15,15,1.0
83,3,halfplane_grid,15,15,1.0
83,4,center_only,0,15,0.0
83,4,seven_points,4,15,0.26666666666666666
83,4,halfplane_grid,15,15,1.0
84,3,center_only,10,14,0.7142857142857143
84,3,seven_points,14,14,1.0
84,3,halfplane_grid,14,14,1.0
84,4,center_only,5,14,0.35714285714285715
84,4,seven_points,14,14,1.0
84,4,halfplane_grid,14,14,1.0
85,3,center_only,0,14,0.0
85,3,seven_points,14,14,1.0
85,3,halfplane_grid,14,14,1.0
85,4,center_only,0,14,0.0
85,4,seven_points,5,14,0.35714285714285715
85,4,halfplane_grid,14,14,1.0
86,3,center_only,8,16,0.5
86,3,seven_points,16,16,1.0
86,3,halfplane_grid,16,16,1.0
86,4,center_only,3,16,0.1875
86,4,seven_points,15,16,0.9375
86,4,halfplane_grid,16,16,1.0
87,3,center_only,0,14,0.0
87,3,seven_points,14,14,1.0
87,3,halfplane_grid,14,14,1.0
87,4,center_only,0,14,0.0
87,4,seven_points,5,14,0.35714285714285715
87,4,halfplane_grid,14,14,1.0
88,3,center_only,6,13,0.46153846153846156
88,3,seven_points,13,13,1.0
88,3,halfplane_grid,13,13,1.0
88,4,center_only,2,13,0.15384615384615385
88,4,seven_points,11,13,0.8461538461538461
88,4,halfplane_grid,13,13,1.0
89,3,center_only,0,16,0.0
89,3,seven_points,16,16,1.0
89,3,halfplane_grid,16,16,1.0
89,4,center_only,0,16,0.0
89,4,seven_points,5,16,0.3125
89,4,halfplane_grid,16,16,1.0
90,3,center_only,8,14,0.5714285714285714
90,3,seven_points,14,14,1.0
90,3,halfplane_grid,14,14,1.0
90,4,center_only,5,14,0.35714285714285715
90,4,seven_points,13,14,0.9285714285714286
90,4,halfplane_grid,14,14,1.0
91,3,center_only,0,15,0.0
91,3,seven_points,15,15,1.0
91,3,halfplane_grid,15,15,1.0
91,4,center_only,0,15,0.0
91,4,seven_points,6,15,0.4
91,4,halfplane_grid,15,15,1.0
92,3,center_only,6,13,0.46153846153846156
92,3,seven_points,13,13,1.0
92,3,halfplane_grid,13,13,1.0
92,4,center_only,4,13,0.3076923076923077
92,4,seven_points,11,13,0.8461538461538461
92,4,halfplane_grid,13,13,1.0
93,3,center_only,0,16,0.0
93,3,seven_points,16,16,1.0
93,3,halfplane_grid,16,16,1.0
93,4,center_only,0,16,0.0
93,4,seven_points,4,16,0.25
93,4,halfplane_grid,16,16,1.0
94,3,center_only,6,10,0.6
94,3,seven_points,10,10,1.0
94,3,halfplane_grid,10,10,1.0
94,4,center_only,4,10,0.4
94,4,seven_points,8,10,0.8
94,4,halfplane_grid,10,10,1.0
95,3,center_only,0,13,0.0
95,3,seven_points,13,13,1.0
95,3,halfplane_grid,13,13,1.0
95,4,center_only,0,13,0.0
95,4,seven_points,7,13,0.5384615384615384
95,4,halfplane_grid,13,13,1.0
96,3,center_only,9,15,0.6
96,3,seven_points,15,15,1.0
96,3,halfplane_grid,15,15,1.0
96,4,center_only,7,15,0.4666666666666667
96,4,seven_points,14,15,0.9333333333333333
96,4,halfplane_grid,15,15,1.0
97,3,center_only,0,10,0.0
97,3,seven_points,10,10,1.0
97,3,halfplane_grid,10,10,1.0
97,4,center_only,0,10,0.0
97,4,seven_points,2,10,0.2
97,4,halfplane_grid,10,10,1.0
98,3,center_only,4,12,0.3333333333333333
98,3,seven_points,12,12,1.0
98,3,halfplane_grid,12,12,1.0
98,4,center_only,2,12,0.16666666666666666
98,4,seven_points,9,12,0.75
98,4,halfplane_grid,12,12,1.0
99,3,center_only,0,16,0.0
99,3,seven_points,16,16,1.0
99,3,halfplane_grid,16,16,1.0
99,4,center_only,0,16,0.0
99,4,seven_points,5,16,0.3125
99,4,halfplane_grid,16,16,1.0
